汽车	发动机 底盘 车身 电气设备
发动机	机体组 曲柄连杆机构 配气机构 进气系统 排气系统 燃料供给系统 冷却系统 润滑系统 点火系统 起动系统
机体组	气缸盖罩 气缸盖 气缸体 油底壳
气缸盖罩	
气缸盖	
气缸体	
油底壳	
曲柄连杆机构	曲轴 飞轮 活塞 连杆
曲轴	
飞轮	
活塞	
连杆	
配气机构	凸轮轴 凸轮 气门 顶杆 摇臂
凸轮轴	进气凸轮轴 排气凸轮轴
进气凸轮轴	
排气凸轮轴	
凸轮	
气门	进气门 排气门 气门弹簧 气门挺柱
进气门	
排气门	
气门弹簧	
气门挺柱	
顶杆	
摇臂	
进气系统	进气歧管 进气管 节气门 油门 空气滤清器 涡轮增压器
进气歧管	
进气管	
节气门	
油门	踏板
踏板	
空气滤清器	
涡轮增压器	
排气系统	排气歧管 排气管 三元催化转化器 消声器
排气歧管	
排气管	
三元催化转化器	
消声器	
燃料供给系统	燃油箱 燃油泵 燃油滤清器 燃油调压器 喷油器
燃油箱	
燃油泵	
燃油滤清器	
燃油调压器	
喷油器	
冷却系统	水箱 水泵 水管 水套 冷却液 散热器
水箱	
水泵	
水管	
水套	
冷却液	
散热器	
润滑系统	机油滤网 机油泵 机油滤清器
机油滤网	
机油泵	
机油滤清器	
点火系统	高压点火线 火花塞
高压点火线	
火花塞	
起动系统	蓄电池 起动电机
蓄电池	
起动电机	
底盘	传动系统 行驶系统 转向系统 制动系统
传动系统	离合器 变速器 传动轴 差速器 驱动桥
离合器	踏板 膜片弹簧 摩擦片
膜片弹簧	
摩擦片	
变速器	变速杆 换挡拉杆 换挡拨叉 同步器 齿轮
变速杆	
换挡拉杆	
换挡拨叉	
同步器	
齿轮	
传动轴	
差速器	
驱动桥	
行驶系统	车架 悬架 车轮
车架	
悬架	控制臂 稳定杆 减振器 螺旋弹簧
控制臂	
稳定杆	
减振器	
螺旋弹簧	
车轮	前轮 后轮 轮毂 轮辋 轮辐 轮胎
前轮	
后轮	
轮毂	
轮辋	
轮辐	
轮胎	备胎
备胎	
转向系统	方向盘 转向轴 转向器 转向拉杆
方向盘	
转向轴	
转向器	
转向拉杆	
制动系统	行车制动系统 驻车制动系统 紧急制动辅助系统 防抱死制动系统
行车制动系统	刹车 制动盘 制动钳 刹车片 制动助力器 制动油管
刹车	踏板
制动盘	
制动钳	
刹车片	
制动助力器	
制动油管	
驻车制动系统	手刹 驻车制动拉索 驻车制动蹄片
手刹	
驻车制动拉索	
驻车制动蹄片	
紧急制动辅助系统	
防抱死制动系统	
车身	车头 车顶 车尾 车门 车窗 车厢
车头	保险杠 进气格栅 发动机盖 翼子板 车标
保险杠	
进气格栅	
发动机盖	
翼子板	
车标	
车顶	顶盖 行李架
顶盖	
行李架	
车尾	尾翼 后备厢 后备厢盖 翼子板 车标
尾翼	
后备厢	踏板
后备厢盖	
车门	门板 后视镜 铰链 门锁 扶手 拉手 胶条
门板	
后视镜	
铰链	
门锁	
扶手	
拉手	
胶条	
车窗	风窗 侧窗 后窗 天窗 玻璃 升降机 胶条
风窗	雨刮器 洗涤器
雨刮器	
洗涤器	
侧窗	
后窗	
天窗	
玻璃	
升降机	
车厢	座椅 中控台 内饰 遮阳板 安全气囊 储物格 地板
座椅	座垫 靠背 头枕 座套 填充物 安全带 调节机构
座垫	
靠背	
头枕	
座套	
填充物	
安全带	
调节机构	
中控台	
内饰	塑料件 脚垫
塑料件	
脚垫	
遮阳板	
安全气囊	
储物格	
地板	
电气设备	车灯 发电机 电脑 仪表盘 空调 喇叭 音响 雷达 显示屏 摄像头 传感器 天线 收音机
车灯	前灯 尾灯 灯泡
前灯	前照灯 转向灯 雾灯 灯泡
前照灯	灯泡
灯泡	
转向灯	灯泡
雾灯	灯泡
尾灯	转向灯 雾灯 制动灯 倒车灯 灯泡
制动灯	灯泡
倒车灯	灯泡
发电机	
电脑	
仪表盘	车速表 里程表 转速表 压力表 水温表 燃油表 指针
车速表	指针
指针	
里程表	指针
转速表	指针
压力表	指针
水温表	指针
燃油表	指针
空调	压缩机 风扇
压缩机	
风扇	
喇叭	
音响	
雷达	
显示屏	
摄像头	
传感器	
天线	
收音机	
